================================================================================
📊 模型源数据集训练与评估综合报告
生成时间: 2026-01-15 12:59:13
保存路径: Transfer_Learning_ResNet50_20260115_094012\stage1_source_training
设备: cuda (多GPU: True)
总训练轮次: 139/150
总训练时间: 10630.21秒 (约177.17分钟)
最佳验证模型所在轮次: 89
最佳模型对应学习率: 1.00e-08
类别配置: 6类 (Ra0.05, Ra0.1, Ra0.2, Ra0.4, Ra0.8, Ra1.6)
================================================================================

📉 学习率调整记录
----------------------------------------------------------------------
调整轮次       调整前LR           调整后LR           调整原因                          
77       0.1429     94.98           94.98           99.13      0.9579       0.9542       0.9560       0.00           
78       0.1447     94.94           94.94           99.12      0.9576       0.9539       0.9557       0.00           
79       0.1488     94.94           94.94           99.14      0.9586       0.9531       0.9556       0.00           
80       0.1564     94.65           94.65           99.06      0.9565       0.9509       0.9535       0.00           
81       0.1498     94.82           94.82           99.12      0.9562       0.9522       0.9539       0.00           
82       0.1506     94.77           94.77           99.12      0.9574       0.9519       0.9544       0.00           
83       0.1447     94.77           94.77           99.10      0.9553       0.9516       0.9534       0.00           
84       0.1498     94.77           94.77           99.10      0.9574       0.9518       0.9544       0.00           
85       0.1463     94.94           94.94           99.11      0.9586       0.9539       0.9562       0.00           
86       0.1489     94.86           94.86           99.12      0.9555       0.9543       0.9548       0.00           
87       0.1448     94.86           94.86           99.12      0.9580       0.9523       0.9550       0.00           
88       0.1525     94.73           94.73           99.09      0.9571       0.9516       0.9541       0.00           
89       0.1473     95.11           95.11           99.12      0.9598       0.9543       0.9569       0.00           
90       0.1506     94.77           94.77           99.08      0.9563       0.9519       0.9539       0.00           
91       0.1482     94.86           94.86           99.12      0.9580       0.9524       0.9550       0.00           
92       0.1485     94.73           94.73           99.12      0.9570       0.9515       0.9541       0.00           
93       0.1499     94.73           94.73           99.10      0.9571       0.9526       0.9546       0.00           
94       0.1477     94.77           94.77           99.09      0.9559       0.9517       0.9536       0.00           
95       0.1484     94.90           94.90           99.10      0.9583       0.9527       0.9553       0.00           
96       0.1533     94.90           94.90           99.09      0.9583       0.9529       0.9553       0.00           
97       0.1520     94.82           94.82           99.08      0.9577       0.9531       0.9552       0.00           
98       0.1569     94.52           94.52           99.04      0.9556       0.9501       0.9526       0.00           
99       0.1630     94.52           94.52           99.03      0.9556       0.9491       0.9520       0.00           
100      0.1431     94.94           94.94           99.13      0.9586       0.9529       0.9556       0.00           
101      0.1529     94.52           94.52           99.08      0.9554       0.9459       0.9503       0.00           
102      0.1458     94.86           94.86           99.08      0.9580       0.9522       0.9550       0.00           
103      0.1461     94.77           94.77           99.13      0.9558       0.9508       0.9531       0.00           
104      0.1556     94.57           94.57           99.07      0.9543       0.9493       0.9515       0.00           
105      0.1496     94.82           94.82           99.12      0.9577       0.9532       0.9552       0.00           
106      0.1497     95.03           95.03           99.10      0.9577       0.9546       0.9560       0.00           
107      0.1418     95.03           95.03           99.14      0.9592       0.9535       0.9562       0.00           
108      0.1478     94.73           94.73           99.10      0.9570       0.9504       0.9535       0.00           
109      0.1486     94.73           94.73           99.09      0.9571       0.9524       0.9546       0.00           
110      0.1438     94.94           94.94           99.13      0.9576       0.9550       0.9562       0.00           
111      0.1562     94.57           94.57           99.07      0.9558       0.9473       0.9512       0.00           
112      0.1525     94.86           94.86           99.10      0.9566       0.9534       0.9548       0.00           
113      0.1486     94.82           94.82           99.11      0.9577       0.9520       0.9547       0.00           
114      0.1477     94.94           94.94           99.13      0.9586       0.9531       0.9556       0.00           
115      0.1468     94.77           94.77           99.14      0.9574       0.9528       0.9549       0.00           
116      0.1533     94.82           94.82           99.08      0.9557       0.9533       0.9543       0.00           
117      0.1505     94.82           94.82           99.10      0.9567       0.9540       0.9553       0.00           
118      0.1486     94.57           94.57           99.10      0.9543       0.9492       0.9515       0.00           
119      0.1501     94.69           94.69           99.09      0.9557       0.9513       0.9533       0.00           
120      0.1440     95.03           95.03           99.10      0.9592       0.9535       0.9562       0.00           
121      0.1483     94.77           94.77           99.12      0.9573       0.9507       0.9538       0.00           
122      0.1469     94.94           94.94           99.11      0.9576       0.9530       0.9552       0.00           
123      0.1502     94.61           94.61           99.09      0.9561       0.9505       0.9531       0.00           
124      0.1521     94.48           94.48           99.04      0.9552       0.9440       0.9493       0.00           
125      0.1493     94.57           94.57           99.10      0.9558       0.9502       0.9528       0.00           
126      0.1521     94.65           94.65           99.07      0.9564       0.9498       0.9529       0.00           
127      0.1489     94.94           94.94           99.08      0.9576       0.9540       0.9557       0.00           
128      0.1433     94.90           94.90           99.12      0.9573       0.9525       0.9548       0.00           
129      0.1507     94.90           94.90           99.11      0.9584       0.9548       0.9564       0.00           
130      0.1442     94.98           94.98           99.13      0.9589       0.9532       0.9559       0.00           
131      0.1416     94.90           94.90           99.15      0.9583       0.9525       0.9553       0.00           
132      0.1521     94.86           94.86           99.12      0.9580       0.9525       0.9550       0.00           
133      0.1507     94.77           94.77           99.11      0.9575       0.9530       0.9549       0.00           
134      0.1467     94.94           94.94           99.13      0.9586       0.9530       0.9556       0.00           
135      0.1542     94.61           94.61           99.08      0.9561       0.9486       0.9520       0.00           
136      0.1509     94.65           94.65           99.08      0.9563       0.9468       0.9512       0.00           
137      0.1609     94.57           94.57           99.05      0.9560       0.9506       0.9529       0.00           
138      0.1530     94.48           94.48           99.09      0.9552       0.9498       0.9523       0.00           
139      0.1474     94.82           94.82           99.13      0.9577       0.9531       0.9552       0.00           

🏆 最佳验证指标 (Epoch 89):
  损失: 0.1473
  全量准确率: 95.11%
  有效类准确率: 95.11%
  MAP: 99.12%
  宏平均精确率: 0.9598
  宏平均召回率: 0.9543
  宏平均F1分数: 0.9569
  对应学习率: 1.00e-08

📋 最佳验证轮次分类报告（6类全量）:
------------------------------------------------------------
              precision    recall  f1-score   support

      Ra0.05       0.97      0.92      0.94       127
       Ra0.1       0.95      0.97      0.96       541
       Ra0.2       0.94      0.96      0.95       534
       Ra0.4       0.94      0.95      0.94       520
       Ra0.8       0.97      0.93      0.95       579
       Ra1.6       1.00      1.00      1.00        91

    accuracy                           0.95      2392
   macro avg       0.96      0.95      0.96      2392
weighted avg       0.95      0.95      0.95      2392

📊 最佳验证轮次混淆矩阵（6类全量）:
------------------------------------------------------------
[[ 117   10    0    0    0    0]
 [   2  523   13    0    3    0]
 [   0    8  511    9    6    0]
 [   1    6   10  493   10    0]
 [   1    5   10   23  540    0]
 [   0    0    0    0    0   91]]

🧪 测试集评估结果 (基于最佳验证模型)
----------------------------------------
整体指标（6类全量）:
  准确率: 94.26%
  有效类准确率: 94.26%
  MAP: 98.90%
  宏平均精确率: 0.9570
  宏平均召回率: 0.9479
  宏平均F1分数: 0.9519

分类报告（6类全量）:
              precision    recall  f1-score   support

      Ra0.05       1.00      0.93      0.96       122
